topicName,consumerGroupId,consumerGroupState,partition,currentOffset,endOffset,lag,memberCount,consumerGroupProtocol,simpleConsumerGroup,coordinator,members,metadata,partitionAssignor,state
fumitran,my-analytics-group,STABLE,8,123,123,,1,,,"{""id"": 1, ""host"": ""kafka"", ""port"": 29092, ""bytesInPerSec"": null, ""bytesOutPerSec"": null, ""partitionsLeader"": null, ""partitions"": null, ""inSyncPartitions"": null, ""partitionsSkew"": null, ""leadersSkew"": null}","[{""consumerId"": ""rdkafka-3a07e83b-1c11-4a91-a118-a207fcb1b395"", ""host"": ""/172.18.0.1""}]",,range,STABLE
fumitran,my-analytics-group,STABLE,9,85,85,,1,,,"{""id"": 1, ""host"": ""kafka"", ""port"": 29092, ""bytesInPerSec"": null, ""bytesOutPerSec"": null, ""partitionsLeader"": null, ""partitions"": null, ""inSyncPartitions"": null, ""partitionsSkew"": null, ""leadersSkew"": null}","[{""consumerId"": ""rdkafka-3a07e83b-1c11-4a91-a118-a207fcb1b395"", ""host"": ""/172.18.0.1""}]",,range,STABLE
fumitran,my-analytics-group,STABLE,0,79,79,,1,,,"{""id"": 1, ""host"": ""kafka"", ""port"": 29092, ""bytesInPerSec"": null, ""bytesOutPerSec"": null, ""partitionsLeader"": null, ""partitions"": null, ""inSyncPartitions"": null, ""partitionsSkew"": null, ""leadersSkew"": null}","[{""consumerId"": ""rdkafka-3a07e83b-1c11-4a91-a118-a207fcb1b395"", ""host"": ""/172.18.0.1""}]",,range,STABLE
fumitran,my-analytics-group,STABLE,1,140,140,,1,,,"{""id"": 1, ""host"": ""kafka"", ""port"": 29092, ""bytesInPerSec"": null, ""bytesOutPerSec"": null, ""partitionsLeader"": null, ""partitions"": null, ""inSyncPartitions"": null, ""partitionsSkew"": null, ""leadersSkew"": null}","[{""consumerId"": ""rdkafka-3a07e83b-1c11-4a91-a118-a207fcb1b395"", ""host"": ""/172.18.0.1""}]",,range,STABLE
fumitran,my-analytics-group,STABLE,2,85,85,,1,,,"{""id"": 1, ""host"": ""kafka"", ""port"": 29092, ""bytesInPerSec"": null, ""bytesOutPerSec"": null, ""partitionsLeader"": null, ""partitions"": null, ""inSyncPartitions"": null, ""partitionsSkew"": null, ""leadersSkew"": null}","[{""consumerId"": ""rdkafka-3a07e83b-1c11-4a91-a118-a207fcb1b395"", ""host"": ""/172.18.0.1""}]",,range,STABLE
fumitran,my-analytics-group,STABLE,3,65,65,,1,,,"{""id"": 1, ""host"": ""kafka"", ""port"": 29092, ""bytesInPerSec"": null, ""bytesOutPerSec"": null, ""partitionsLeader"": null, ""partitions"": null, ""inSyncPartitions"": null, ""partitionsSkew"": null, ""leadersSkew"": null}","[{""consumerId"": ""rdkafka-3a07e83b-1c11-4a91-a118-a207fcb1b395"", ""host"": ""/172.18.0.1""}]",,range,STABLE
fumitran,my-analytics-group,STABLE,4,39,39,,1,,,"{""id"": 1, ""host"": ""kafka"", ""port"": 29092, ""bytesInPerSec"": null, ""bytesOutPerSec"": null, ""partitionsLeader"": null, ""partitions"": null, ""inSyncPartitions"": null, ""partitionsSkew"": null, ""leadersSkew"": null}","[{""consumerId"": ""rdkafka-3a07e83b-1c11-4a91-a118-a207fcb1b395"", ""host"": ""/172.18.0.1""}]",,range,STABLE
fumitran,my-analytics-group,STABLE,5,67,67,,1,,,"{""id"": 1, ""host"": ""kafka"", ""port"": 29092, ""bytesInPerSec"": null, ""bytesOutPerSec"": null, ""partitionsLeader"": null, ""partitions"": null, ""inSyncPartitions"": null, ""partitionsSkew"": null, ""leadersSkew"": null}","[{""consumerId"": ""rdkafka-3a07e83b-1c11-4a91-a118-a207fcb1b395"", ""host"": ""/172.18.0.1""}]",,range,STABLE
fumitran,my-analytics-group,STABLE,6,68,68,,1,,,"{""id"": 1, ""host"": ""kafka"", ""port"": 29092, ""bytesInPerSec"": null, ""bytesOutPerSec"": null, ""partitionsLeader"": null, ""partitions"": null, ""inSyncPartitions"": null, ""partitionsSkew"": null, ""leadersSkew"": null}","[{""consumerId"": ""rdkafka-3a07e83b-1c11-4a91-a118-a207fcb1b395"", ""host"": ""/172.18.0.1""}]",,range,STABLE
fumitran,my-analytics-group,STABLE,7,81,81,,1,,,"{""id"": 1, ""host"": ""kafka"", ""port"": 29092, ""bytesInPerSec"": null, ""bytesOutPerSec"": null, ""partitionsLeader"": null, ""partitions"": null, ""inSyncPartitions"": null, ""partitionsSkew"": null, ""leadersSkew"": null}","[{""consumerId"": ""rdkafka-3a07e83b-1c11-4a91-a118-a207fcb1b395"", ""host"": ""/172.18.0.1""}]",,range,STABLE
test-topic,,,,,,,,,,,,,,
